x,y
-0.0,20.14
-6.66667,20.27
-13.33333,20.29
-20.0,20.2
-26.66667,20.21
-33.33333,20.15
-40.0,20.07
-46.66667,20.03
-53.33333,20.09
-60.0,20.2
-66.66667,20.15
-73.33333,20.01
-80.0,19.98
-86.66667,19.99
-93.33333,19.95
-100.0,19.91
-106.66667,19.93
-113.33333,19.95
-120.0,19.72
-126.66667,19.49
-133.33333,19.3
-140.0,19.02
-146.66667,18.38
-153.33333,18.09
-160.0,18.5
-166.66667,18.82
-173.33333,18.82
-180.0,18.71
-186.66667,18.58
-193.33333,18.42
-200.0,18.34
-206.66667,18.19
-213.33333,17.85
-220.0,17.47
-226.66667,17.09
-233.33333,16.74
-240.0,16.4
-246.66667,15.98
-253.33333,15.55
-260.0,15.22
-266.66667,14.88
-273.33333,14.34
-280.0,13.73
-286.66667,13.23
-293.33333,12.68
-300.0,12.05
-306.66667,11.53
-313.33333,11.86
-320.0,12.44
-326.66667,13.11
-333.33333,14.38
-340.0,16.1
-346.66667,17.98
-353.33333,20.09
-360.0,22.5
-366.66667,24.84
-373.33333,26.0
-380.0,25.5
-386.66667,24.52
-393.33333,23.68
-400.0,22.81
-406.66667,22.22
-413.33333,21.93
-420.0,21.58
-426.66667,21.28
-433.33333,21.03
-440.0,20.8
-446.66667,20.69
-453.33333,20.63
-460.0,20.69
-466.66667,20.79
-473.33333,20.68
-480.0,20.52
-486.66667,20.47
-493.33333,20.32
-500.0,20.2
-506.66667,20.23
-513.33333,20.18
-520.0,20.13
-526.66667,20.1
-533.33333,20.04
-540.0,19.92
-546.66667,19.95
-553.33333,20.0
-560.0,20.13
-566.66667,20.33
-573.33333,20.34
-580.0,20.19
-586.66667,20.04
-593.33333,20.06
-600.0,20.12
-606.66667,20.02
-613.33333,20.0
-620.0,20.09
-626.66667,20.13
-633.33333,20.05
-640.0,19.98
-646.66667,19.93
-653.33333,19.91
-660.0,19.97
-666.66667,20.13
-673.33333,20.33
-680.0,20.25
-686.66667,20.01
-693.33333,19.88
-700.0,19.93
-706.66667,19.98
-713.33333,19.92
-720.0,19.85
-726.66667,19.88
-733.33333,19.93
-740.0,19.88
-746.66667,19.82
-753.33333,19.87
-760.0,19.85
-766.66667,19.74
-773.33333,19.58
-780.0,19.6
-786.66667,19.8
-793.33333,19.94
-800.0,19.91
-806.66667,19.91
-813.33333,19.96
-820.0,19.91
-826.66667,19.86
-833.33333,19.85
-840.0,19.78
-846.66667,19.71
-853.33333,19.78
-860.0,19.81
-866.66667,19.88
-873.33333,20.02
-880.0,20.08
-886.66667,20.1
-893.33333,20.13
-900.0,20.02
-906.66667,19.92
-913.33333,19.91
-920.0,20.0
-926.66667,19.99
-933.33333,19.94
-940.0,19.92
-946.66667,19.89
-953.33333,19.82
-960.0,19.78
-966.66667,19.78
-973.33333,19.8
-980.0,19.81
-986.66667,19.83
-993.33333,19.91
-1000.0,20.0
-1006.66667,20.06
-1013.33333,20.14
-1020.0,20.11
-1026.66667,20.01
-1033.33333,19.92
-1040.0,19.77
-1046.66667,19.72
-1053.33333,19.8
-1060.0,19.79
-1066.66667,19.86
-1073.33333,19.98
-1080.0,20.03
-1086.66667,20.04
-1093.33333,20.03
-1100.0,20.02
-1106.66667,20.03
-1113.33333,20.16
-1120.0,20.14
-1126.66667,20.15
-1133.33333,20.16
-1140.0,20.22
-1146.66667,20.44
-1153.33333,20.47
-1160.0,20.39
-1166.66667,20.51
-1173.33333,20.75
-1180.0,20.84
-1186.66667,20.92
-1193.33333,21.12
-1200.0,21.37
-1206.66667,21.65
-1213.33333,22.04
-1220.0,22.45
-1226.66667,23.23
-1233.33333,24.51
-1240.0,25.78
-1246.66667,26.01
-1253.33333,24.78
-1260.0,22.37
-1266.66667,19.46
-1273.33333,16.89
-1280.0,14.68
-1286.66667,12.93
-1293.33333,12.17
-1300.0,12.01
-1306.66667,11.52
-1313.33333,11.16
-1320.0,11.56
-1326.66667,12.17
-1333.33333,12.53
-1340.0,12.97
-1346.66667,13.71
-1353.33333,14.48
-1360.0,15.09
-1366.66667,15.58
-1373.33333,15.96
-1380.0,16.15
-1386.66667,16.15
-1393.33333,16.2
-1400.0,16.38
-1406.66667,16.63
-1413.33333,16.97
-1420.0,17.28
-1426.66667,17.51
-1433.33333,17.86
-1440.0,18.17
-1446.66667,18.39
-1453.33333,18.57
-1460.0,18.74
-1466.66667,18.89
-1473.33333,19.13
-1480.0,19.53
-1486.66667,19.81
-1493.33333,20.03
-1500.0,20.21
-1506.66667,20.36
-1513.33333,20.47
-1520.0,20.54
-1526.66667,20.51
-1533.33333,20.54
-1540.0,20.69
-1546.66667,20.75
-1553.33333,20.77
-1560.0,20.78
-1566.66667,20.73
-1573.33333,20.66
-1580.0,20.65
-1586.66667,20.66
-1593.33333,20.68
