x,y
-0.0,19.45
-6.66667,19.68
-13.33333,20.01
-20.0,20.11
-26.66667,20.15
-33.33333,20.15
-40.0,19.97
-46.66667,19.73
-53.33333,19.61
-60.0,19.7
-66.66667,19.9
-73.33333,19.96
-80.0,20.01
-86.66667,19.99
-93.33333,19.93
-100.0,19.9
-106.66667,19.79
-113.33333,19.74
-120.0,19.65
-126.66667,19.46
-133.33333,19.38
-140.0,19.43
-146.66667,19.31
-153.33333,19.03
-160.0,18.82
-166.66667,18.74
-173.33333,18.73
-180.0,18.58
-186.66667,18.36
-193.33333,18.12
-200.0,17.85
-206.66667,17.56
-213.33333,17.24
-220.0,16.86
-226.66667,16.52
-233.33333,16.13
-240.0,15.65
-246.66667,15.13
-253.33333,14.45
-260.0,13.73
-266.66667,13.1
-273.33333,12.59
-280.0,12.1
-286.66667,11.58
-293.33333,11.1
-300.0,10.61
-306.66667,10.59
-313.33333,11.55
-320.0,12.75
-326.66667,13.35
-333.33333,13.98
-340.0,15.39
-346.66667,17.65
-353.33333,20.32
-360.0,22.74
-366.66667,24.23
-373.33333,24.74
-380.0,24.42
-386.66667,23.78
-393.33333,23.21
-400.0,22.68
-406.66667,22.08
-413.33333,21.65
-420.0,21.38
-426.66667,20.94
-433.33333,20.58
-440.0,20.4
-446.66667,20.41
-453.33333,20.26
-460.0,20.08
-466.66667,19.91
-473.33333,19.9
-480.0,19.89
-486.66667,19.7
-493.33333,19.42
-500.0,19.4
-506.66667,19.64
-513.33333,19.77
-520.0,19.71
-526.66667,19.54
-533.33333,19.48
-540.0,19.55
-546.66667,19.66
-553.33333,19.76
-560.0,19.79
-566.66667,19.87
-573.33333,19.95
-580.0,19.99
-586.66667,19.83
-593.33333,19.56
-600.0,19.43
-606.66667,19.5
-613.33333,19.61
-620.0,19.78
-626.66667,19.81
-633.33333,19.71
-640.0,19.67
-646.66667,19.57
-653.33333,19.49
-660.0,19.52
-666.66667,19.55
-673.33333,19.65
-680.0,19.72
-686.66667,19.52
-693.33333,19.29
-700.0,19.32
-706.66667,19.3
-713.33333,19.14
-720.0,19.03
-726.66667,19.05
-733.33333,19.09
-740.0,19.18
-746.66667,19.33
-753.33333,19.41
-760.0,19.5
-766.66667,19.65
-773.33333,19.63
-780.0,19.53
-786.66667,19.48
-793.33333,19.28
-800.0,19.13
-806.66667,19.14
-813.33333,19.26
-820.0,19.52
-826.66667,19.51
-833.33333,19.34
-840.0,19.15
-846.66667,19.02
-853.33333,19.06
-860.0,19.12
-866.66667,19.24
-873.33333,19.2
-880.0,19.11
-886.66667,19.21
-893.33333,19.36
-900.0,19.4
-906.66667,19.36
-913.33333,19.22
-920.0,19.16
-926.66667,19.33
-933.33333,19.49
-940.0,19.38
-946.66667,19.27
-953.33333,19.33
-960.0,19.47
-966.66667,19.61
-973.33333,19.75
-980.0,19.68
-986.66667,19.47
-993.33333,19.45
-1000.0,19.55
-1006.66667,19.64
-1013.33333,19.63
-1020.0,19.62
-1026.66667,19.67
-1033.33333,19.77
-1040.0,19.86
-1046.66667,19.94
-1053.33333,19.9
-1060.0,19.85
-1066.66667,19.96
-1073.33333,20.04
-1080.0,19.86
-1086.66667,19.66
-1093.33333,19.62
-1100.0,19.8
-1106.66667,19.91
-1113.33333,19.83
-1120.0,19.7
-1126.66667,19.66
-1133.33333,19.76
-1140.0,19.81
-1146.66667,19.77
-1153.33333,19.94
-1160.0,20.11
-1166.66667,20.17
-1173.33333,20.19
-1180.0,20.22
-1186.66667,20.37
-1193.33333,20.67
-1200.0,21.05
-1206.66667,21.48
-1213.33333,21.89
-1220.0,22.49
-1226.66667,23.25
-1233.33333,23.97
-1240.0,24.6
-1246.66667,24.76
-1253.33333,23.83
-1260.0,21.87
-1266.66667,19.5
-1273.33333,17.31
-1280.0,15.34
-1286.66667,13.78
-1293.33333,13.07
-1300.0,12.32
-1306.66667,11.23
-1313.33333,10.64
-1320.0,10.67
-1326.66667,11.13
-1333.33333,11.64
-1340.0,12.05
-1346.66667,12.52
-1353.33333,13.11
-1360.0,13.74
-1366.66667,14.42
-1373.33333,15.07
-1380.0,15.51
-1386.66667,15.87
-1393.33333,16.36
-1400.0,16.77
-1406.66667,17.04
-1413.33333,17.27
-1420.0,17.55
-1426.66667,17.9
-1433.33333,18.12
-1440.0,18.19
-1446.66667,18.26
-1453.33333,18.39
-1460.0,18.73
-1466.66667,19.09
-1473.33333,19.23
-1480.0,19.29
-1486.66667,19.31
-1493.33333,19.29
-1500.0,19.33
-1506.66667,19.37
-1513.33333,19.45
-1520.0,19.59
-1526.66667,19.57
-1533.33333,19.55
-1540.0,19.57
-1546.66667,19.56
-1553.33333,19.52
-1560.0,19.47
-1566.66667,19.49
-1573.33333,19.46
-1580.0,19.46
-1586.66667,19.55
-1593.33333,19.55
