-0.00000	19.57500	77.31500
-6.66667	19.64000	77.26000
-13.33333	19.62500	77.68000
-20.00000	19.62500	77.56500
-26.66667	19.56000	77.13500
-33.33333	19.48500	77.58500
-40.00000	19.45500	77.91000
-46.66667	19.43500	77.27500
-53.33333	19.35500	76.54500
-60.00000	19.31500	76.60500
-66.66667	19.29500	77.18000
-73.33333	19.27000	77.23500
-80.00000	19.22000	77.28500
-86.66667	19.15500	77.60000
-93.33333	19.14500	77.46000
-100.00000	19.18000	76.93000
-106.66667	19.15000	76.34000
-113.33333	19.03000	75.84500
-120.00000	18.97500	76.08500
-126.66667	18.90000	76.74000
-133.33333	18.76000	76.75000
-140.00000	18.69500	76.00500
-146.66667	18.58500	75.78500
-153.33333	18.40000	76.33000
-160.00000	18.22500	76.24500
-166.66667	18.02000	75.71000
-173.33333	17.83000	75.72500
-180.00000	17.64000	76.53500
-186.66667	17.44500	76.76500
-193.33333	17.26500	76.63000
-200.00000	16.98500	77.36500
-206.66667	16.66500	78.22000
-213.33333	16.36500	78.71500
-220.00000	16.05000	78.72000
-226.66667	15.73500	78.39000
-233.33333	15.35500	78.25500
-240.00000	14.92500	77.93000
-246.66667	14.51000	77.36000
-253.33333	14.07000	77.52000
-260.00000	13.45000	77.75000
-266.66667	12.85000	77.20000
-273.33333	12.32500	76.62000
-280.00000	11.87000	76.31000
-286.66667	11.60500	76.59500
-293.33333	11.16000	77.64500
-300.00000	10.88000	78.84000
-306.66667	11.43500	78.65000
-313.33333	12.68000	77.57000
-320.00000	14.04000	76.73000
-326.66667	15.70500	76.31000
-333.33333	17.72000	76.43500
-340.00000	19.39000	76.95500
-346.66667	20.60500	77.38000
-353.33333	21.77500	77.66000
-360.00000	22.77500	77.34500
-366.66667	23.39500	76.98000
-373.33333	23.36500	77.51500
-380.00000	22.74000	77.75000
-386.66667	22.08500	77.51000
-393.33333	21.65500	77.33500
-400.00000	21.18000	77.22000
-406.66667	20.78500	77.39500
-413.33333	20.52500	77.99000
-420.00000	20.27000	77.76000
-426.66667	20.02500	77.40000
-433.33333	19.74500	77.40000
-440.00000	19.55000	77.07000
-446.66667	19.53000	77.06500
-453.33333	19.49000	77.58000
-460.00000	19.44000	77.35500
-466.66667	19.59500	77.05000
-473.33333	19.71500	77.11500
-480.00000	19.66500	76.34000
-486.66667	19.60000	74.45500
-493.33333	19.51000	73.73000
-500.00000	19.48000	74.68500
-506.66667	19.40500	75.73500
-513.33333	19.34000	75.91000
-520.00000	19.26000	75.45500
-526.66667	19.14500	75.32000
-533.33333	19.05000	74.73000
-540.00000	18.97000	74.27500
-546.66667	18.86000	74.41500
-553.33333	18.93000	73.80000
-560.00000	19.09000	74.14000
-566.66667	19.19500	75.30000
-573.33333	19.26000	75.34000
-580.00000	19.15000	75.31000
-586.66667	19.00500	75.53500
-593.33333	19.03000	75.40500
-600.00000	19.08000	75.33500
-606.66667	19.05500	75.59000
-613.33333	18.94000	75.43000
-620.00000	18.81000	75.17000
-626.66667	18.80000	74.99000
-633.33333	18.83000	75.04000
-640.00000	18.80500	75.30500
-646.66667	18.81000	75.27500
-653.33333	18.70500	74.97500
-660.00000	18.64500	75.11500
-666.66667	18.64500	75.54500
-673.33333	18.61000	75.52000
-680.00000	18.60000	74.81500
-686.66667	18.62000	74.17000
-693.33333	18.56500	74.16500
-700.00000	18.52500	74.54000
-706.66667	18.52000	75.75500
-713.33333	18.55000	76.24500
-720.00000	18.62500	75.17000
-726.66667	18.59000	74.07500
-733.33333	18.54500	73.57500
-740.00000	18.64000	74.17000
-746.66667	18.68500	75.20500
-753.33333	18.59000	75.77500
-760.00000	18.49500	76.15000
-766.66667	18.55500	76.36500
-773.33333	18.70500	76.40000
-780.00000	18.73000	76.35000
-786.66667	18.68000	75.51000
-793.33333	18.62500	74.39500
